"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2025","146.66","152.52","153.40","142.90","9.36M","-3.63%"
"04/17/2025","152.18","151.00","152.99","150.99","916.31K","0.56%"
"04/16/2025","151.34","152.55","153.50","150.50","1.08M","-0.75%"
"04/15/2025","152.48","153.90","154.60","152.05","1.78M","0.12%"
"04/14/2025","152.30","150.00","154.00","150.00","1.75M","1.54%"
"04/11/2025","149.99","152.00","152.00","149.11","716.34K","-0.70%"
"04/10/2025","151.04","153.95","153.95","150.67","2.93M","0.53%"
"04/09/2025","150.25","150.90","152.50","148.75","987.74K","-0.60%"
"04/08/2025","151.15","154.00","154.50","150.02","2.34M","-0.57%"
"04/07/2025","152.01","155.51","158.00","143.11","1.97M","-3.94%"
"04/04/2025","158.24","154.48","162.50","154.00","5.44M","2.95%"
"04/03/2025","153.70","153.48","154.90","152.08","1.20M","0.60%"
"03/27/2025","152.79","153.97","154.00","152.50","568.48K","-0.07%"
"03/26/2025","152.89","153.00","154.50","152.07","754.54K","0.85%"
"03/25/2025","151.60","151.02","154.10","151.00","818.44K","0.09%"
"03/24/2025","151.46","154.40","154.40","151.00","191.59K","-0.58%"
"03/21/2025","152.34","155.20","155.60","152.05","1.18M","-1.10%"
"03/20/2025","154.03","154.11","155.00","153.88","1.92M","0.01%"
"03/19/2025","154.02","153.70","155.00","153.00","1.12M","0.42%"
"03/18/2025","153.38","152.50","153.90","152.50","1.06M","0.58%"
"03/17/2025","152.49","153.00","153.90","152.10","1.34M","-3.12%"
"03/14/2025","157.40","157.99","158.88","156.71","381.40K","0.03%"
"03/13/2025","157.36","156.88","160.75","156.50","1.20M","0.65%"
"03/12/2025","156.35","155.65","157.99","155.55","766.77K","0.45%"
"03/11/2025","155.65","158.00","158.99","155.01","785.70K","-1.12%"
"03/10/2025","157.42","154.98","158.50","153.74","1.36M","2.23%"
"03/07/2025","153.99","153.99","154.60","153.17","213.96K","0.40%"
"03/06/2025","153.38","152.85","154.00","151.30","380.00K","1.13%"
"03/05/2025","151.67","153.00","154.00","151.11","286.99K","-0.82%"
"03/04/2025","152.93","152.00","153.48","151.00","217.87K","1.06%"
"03/03/2025","151.33","152.00","152.90","150.00","175.84K","-0.75%"
"02/28/2025","152.47","153.00","153.45","151.53","1.15M","0.51%"
"02/27/2025","151.69","153.50","154.40","150.31","670.01K","-1.33%"
"02/26/2025","153.74","155.01","156.39","152.90","808.79K","-1.28%"
"02/25/2025","155.73","157.00","160.00","154.20","2.33M","0.87%"
"02/24/2025","154.38","158.50","158.50","149.60","7.25M","-2.41%"
"02/21/2025","158.20","160.70","161.97","157.50","468.45K","-1.39%"
"02/20/2025","160.43","162.72","162.72","159.11","898.04K","-1.25%"
"02/19/2025","162.46","165.79","167.00","162.05","1.21M","-1.49%"
"02/18/2025","164.91","163.85","165.30","162.50","410.20K","1.29%"
"02/17/2025","162.81","162.52","163.98","160.52","246.52K","0.18%"
"02/14/2025","162.52","164.47","164.50","162.00","313.82K","-0.45%"
"02/13/2025","163.26","163.05","164.89","162.52","313.06K","-0.10%"
"02/12/2025","163.42","165.50","167.86","162.84","866.33K","-1.27%"
"02/11/2025","165.53","167.00","168.95","164.25","493.31K","-0.36%"
"02/10/2025","166.12","164.05","168.00","160.10","516.17K","1.21%"
"02/07/2025","164.14","165.00","168.49","163.20","1.57M","-0.38%"
"02/06/2025","164.77","170.00","171.00","163.20","2.17M","-2.81%"
"02/04/2025","169.54","173.00","173.49","169.05","1.73M","-1.63%"
"02/03/2025","172.35","176.00","177.00","172.00","1.02M","-2.07%"
"01/31/2025","175.99","173.17","179.40","173.00","2.65M","1.29%"
"01/30/2025","173.75","173.00","175.40","173.00","1.13M","0.02%"
"01/29/2025","173.72","175.90","175.90","172.05","1.52M","-0.54%"
"01/28/2025","174.67","175.38","175.88","172.70","2.28M","0.21%"
"01/27/2025","174.30","174.52","176.10","173.60","2.68M","-0.12%"
"01/24/2025","174.51","172.70","176.40","171.75","3.35M","1.67%"
"01/23/2025","171.65","173.39","173.39","171.50","713.49K","-0.34%"
"01/22/2025","172.23","173.87","175.05","171.60","3.47M","-0.94%"
"01/21/2025","173.87","175.90","176.50","173.25","2.76M","0.36%"
"01/20/2025","173.25","172.90","175.25","172.10","1.66M","0.03%"
"01/17/2025","173.19","173.00","174.00","171.51","1.71M","0.49%"
"01/16/2025","172.35","172.95","173.48","171.01","1.23M","0.38%"
"01/15/2025","171.70","173.30","174.80","171.50","1.55M","-0.10%"
"01/14/2025","171.87","173.93","173.95","171.26","812.56K","-0.72%"
"01/13/2025","173.11","173.11","174.00","172.00","832.35K","0.52%"
"01/10/2025","172.22","174.48","174.48","171.51","543.99K","-1.11%"
"01/09/2025","174.15","172.10","176.00","170.50","1.87M","0.64%"
"01/08/2025","173.05","176.80","178.50","171.50","673.20K","-2.02%"
"01/07/2025","176.61","180.11","181.75","171.10","2.68M","-1.88%"
"01/06/2025","180.00","182.90","182.90","176.50","4.29M","-0.90%"
"01/03/2025","181.63","177.76","182.50","174.00","4.58M","2.61%"
"01/02/2025","177.01","174.00","179.95","174.00","4.39M","1.35%"
"01/01/2025","174.65","174.95","175.50","172.55","1.80M","0.66%"
"12/31/2024","173.50","173.11","178.50","168.96","7.41M","0.99%"
"12/30/2024","171.80","159.09","171.80","157.12","7.67M","10.13%"
"12/27/2024","156.00","156.50","157.69","155.00","1.20M","-0.39%"
"12/26/2024","156.61","158.30","158.30","154.01","1.52M","-0.95%"
"12/24/2024","158.11","160.43","162.51","157.75","1.42M","-1.12%"
"12/23/2024","159.90","157.99","162.00","157.20","1.94M","1.85%"
"12/20/2024","156.99","153.11","157.00","153.00","1.29M","1.32%"
"12/19/2024","154.95","161.72","163.10","152.50","2.19M","-4.65%"
"12/18/2024","162.51","167.00","167.10","160.01","1.77M","-0.82%"
"12/17/2024","163.85","158.06","167.10","157.71","3.26M","2.41%"
"12/16/2024","160.00","162.00","162.75","158.55","4.11M","-1.54%"
"12/13/2024","162.50","169.00","169.40","160.62","2.53M","-3.39%"
"12/12/2024","168.20","164.00","170.00","164.00","3.04M","2.56%"
"12/11/2024","164.00","163.60","166.45","161.10","1.68M","0.61%"
"12/10/2024","163.01","167.00","168.45","161.44","3.17M","-2.39%"
"12/09/2024","167.00","170.01","171.98","166.24","3.59M","-3.50%"
"12/06/2024","173.05","175.00","177.25","173.05","3.75M","-0.82%"
"12/05/2024","174.48","173.80","176.90","170.87","5.27M","0.85%"
"12/04/2024","173.01","178.16","179.00","172.80","4.62M","-2.80%"
"12/03/2024","178.00","182.45","182.45","175.11","3.40M","-2.73%"
"12/02/2024","183.00","182.35","184.79","177.75","3.55M","0.99%"
"11/29/2024","181.20","178.00","182.90","172.50","4.00M","1.97%"
"11/28/2024","177.70","175.26","182.40","171.75","9.94M","4.55%"
"11/27/2024","169.96","159.97","169.96","158.50","16.44M","9.67%"
"11/26/2024","154.98","147.74","161.90","144.10","15.66M","4.90%"
"11/25/2024","147.74","145.20","154.69","145.00","8.33M","1.89%"
"11/22/2024","145.00","135.50","148.39","135.50","19.34M","7.46%"
"11/21/2024","134.94","134.10","135.90","133.51","2.98M","0.85%"
"11/20/2024","133.80","138.50","140.98","133.51","4.07M","-2.76%"
"11/19/2024","137.60","138.75","141.00","137.60","1.97M","-0.86%"
"11/18/2024","138.80","134.20","139.60","132.05","2.79M","3.88%"
"11/15/2024","133.62","131.00","135.00","131.00","2.92M","2.55%"
"11/14/2024","130.30","125.50","130.99","125.25","2.09M","4.07%"
"11/13/2024","125.21","125.50","125.90","124.40","1.15M","0.00%"
"11/12/2024","125.21","128.00","128.00","125.00","1.04M","-1.84%"
"11/11/2024","127.56","130.94","130.94","127.01","1.13M","-1.20%"
"11/08/2024","129.11","129.51","130.94","128.46","1.17M","-0.30%"
"11/07/2024","129.50","131.75","132.40","129.00","1.42M","-1.51%"
"11/06/2024","131.49","130.44","132.01","129.51","518.23K","0.84%"
"11/05/2024","130.40","131.51","131.51","129.76","702.16K","-1.21%"
"11/04/2024","132.00","133.90","134.99","131.50","443.20K","-0.79%"
"11/01/2024","133.05","130.49","134.90","130.05","942.35K","1.80%"
"10/31/2024","130.70","137.00","137.00","130.00","3.43M","-4.42%"
"10/30/2024","136.75","140.00","140.50","136.10","619.33K","-1.90%"
"10/29/2024","139.40","139.40","141.85","139.01","1.47M","-0.57%"
"10/28/2024","140.20","138.50","141.50","138.50","3.45M","1.22%"
"10/25/2024","138.51","137.15","139.74","137.15","3.28M","0.15%"
"10/24/2024","138.30","136.97","139.89","135.00","4.24M","-0.50%"
"10/23/2024","139.00","135.92","139.32","134.50","3.98M","2.70%"
"10/22/2024","135.35","135.20","138.00","135.11","1.43M","0.25%"
"10/21/2024","135.01","134.02","135.48","133.50","1.07M","0.75%"
"10/18/2024","134.00","132.26","134.95","131.60","1.81M","-0.07%"
"10/17/2024","134.10","135.75","135.75","132.25","1.65M","-0.30%"
"10/16/2024","134.50","137.95","139.50","134.01","2.45M","-2.17%"
"10/15/2024","137.49","135.25","137.98","134.61","674.83K","1.73%"
"10/14/2024","135.15","136.80","137.00","135.00","1.37M","-0.15%"
"10/11/2024","135.35","137.50","138.90","134.79","4.28M","-1.56%"
"10/10/2024","137.50","140.94","140.94","136.66","2.86M","-1.79%"
"10/09/2024","140.00","140.11","144.00","139.00","5.63M","-0.35%"
"10/08/2024","140.49","128.75","140.60","128.75","10.53M","8.32%"
"10/07/2024","129.70","129.00","129.81","128.25","2.49M","0.15%"
"10/04/2024","129.50","128.27","131.25","127.60","2.13M","1.07%"
"10/03/2024","128.13","126.05","129.80","125.57","7.03M","1.00%"
"10/02/2024","126.86","124.75","127.00","123.10","4.59M","1.50%"
"10/01/2024","124.99","127.01","128.87","124.10","1.36M","-1.66%"
"09/30/2024","127.10","128.50","128.89","123.60","2.43M","-0.39%"
"09/27/2024","127.60","128.00","129.65","127.60","2.54M","-0.70%"
"09/26/2024","128.50","130.00","132.40","128.15","4.35M","-0.77%"
"09/25/2024","129.50","128.99","130.20","127.05","3.70M","0.93%"
"09/24/2024","128.31","128.95","129.40","126.28","4.26M","-0.15%"
"09/23/2024","128.50","128.00","129.38","126.41","6.58M","0.51%"
"09/20/2024","127.85","119.25","129.97","119.25","16.17M","6.64%"
"09/19/2024","119.89","116.70","122.10","116.01","3.63M","3.25%"
"09/18/2024","116.12","115.55","116.90","115.55","904.47K","-0.03%"
"09/16/2024","116.16","114.90","116.45","114.55","238.67K","0.91%"
"09/13/2024","115.11","117.00","117.48","114.80","745.39K","-0.98%"
"09/12/2024","116.25","117.25","117.40","115.00","1.19M","-0.38%"
"09/11/2024","116.69","119.49","119.50","116.06","1.84M","-1.53%"
"09/10/2024","118.50","116.10","120.40","116.10","2.11M","0.85%"
"09/09/2024","117.50","119.90","119.90","116.00","1.67M","-2.00%"
"09/06/2024","119.90","118.50","119.95","118.03","985.10K","0.97%"
"09/05/2024","118.75","120.45","120.45","118.00","1.56M","-1.04%"
"09/04/2024","120.00","120.00","120.65","119.40","471.36K","0.29%"
"09/03/2024","119.65","119.50","120.00","118.50","1.82M","-2.33%"
"09/02/2024","122.50","125.55","129.10","121.99","4.12M","-1.75%"
"08/30/2024","124.68","126.78","128.80","124.60","2.26M","-1.45%"
"08/29/2024","126.52","128.00","128.98","126.00","1.47M","-0.89%"
"08/28/2024","127.66","129.00","129.00","126.50","514.56K","-0.62%"
"08/27/2024","128.46","129.01","129.98","127.90","635.73K","-0.80%"
"08/26/2024","129.50","134.12","134.95","128.50","3.04M","-3.44%"
"08/23/2024","134.11","134.60","134.60","133.00","515.67K","0.23%"
"08/22/2024","133.80","136.00","136.00","132.51","842.19K","-1.62%"
"08/21/2024","136.00","136.95","137.48","135.05","403.56K","-0.40%"
"08/20/2024","136.55","137.99","138.00","136.01","186.62K","-0.33%"
"08/19/2024","137.00","137.45","138.00","134.60","702.14K","-0.36%"
"08/16/2024","137.50","138.48","138.94","136.52","181.84K","-0.05%"
"08/15/2024","137.57","137.00","138.95","136.00","428.03K","0.67%"
"08/13/2024","136.66","137.00","137.90","135.61","479.12K","0.12%"
"08/12/2024","136.50","136.14","138.30","136.14","643.07K","-1.09%"
"08/09/2024","138.00","136.25","138.00","135.12","1.07M","1.09%"
"08/08/2024","136.51","133.85","136.74","132.60","3.19M","1.86%"
"08/07/2024","134.02","131.17","134.95","131.17","1.31M","0.77%"
"08/06/2024","133.00","132.87","135.20","131.11","2.05M","0.91%"
"08/05/2024","131.80","135.00","135.50","130.53","1.83M","-3.06%"
"08/02/2024","135.96","134.50","137.50","132.00","4.09M","2.23%"
"08/01/2024","133.00","131.86","133.68","131.00","1.58M","1.79%"
"07/31/2024","130.66","133.63","136.90","130.30","2.35M","-2.48%"
"07/30/2024","133.98","137.98","138.80","133.12","1.60M","-1.81%"
"07/29/2024","136.45","135.79","138.69","135.55","1.84M","-0.40%"
"07/26/2024","137.00","139.70","139.70","136.00","675.44K","-1.08%"
"07/25/2024","138.50","142.00","142.00","138.50","2.70M","-2.12%"
"07/24/2024","141.50","141.60","143.39","141.00","988.99K","0.21%"
"07/23/2024","141.20","143.48","145.00","140.10","2.32M","-0.92%"
"07/22/2024","142.51","141.64","144.25","137.50","5.10M","1.29%"
"07/19/2024","140.70","148.25","148.25","140.10","4.11M","-4.80%"
"07/18/2024","147.80","148.90","149.79","146.60","3.01M","-0.54%"
"07/15/2024","148.60","148.00","153.26","148.00","7.83M","0.88%"
"07/12/2024","147.31","139.99","148.10","137.49","13.20M","3.82%"
"07/11/2024","141.89","137.90","141.97","134.40","4.11M","3.19%"
"07/10/2024","137.50","141.49","141.49","137.00","1.93M","-1.72%"
"07/09/2024","139.90","143.11","145.90","139.00","3.23M","-2.47%"
"07/08/2024","143.44","140.00","145.10","137.51","5.28M","3.42%"
"07/05/2024","138.70","132.50","140.75","130.30","10.03M","4.77%"
"07/04/2024","132.39","132.49","134.90","127.00","7.00M","-0.46%"
"07/03/2024","133.00","126.75","133.75","126.50","7.32M","5.56%"
"07/02/2024","126.00","125.99","126.80","125.43","2.22M","0.84%"
"07/01/2024","124.95","123.99","125.70","122.52","1.96M","0.77%"
"06/28/2024","124.00","124.60","124.60","121.60","3.46M","0.32%"
"06/27/2024","123.60","125.00","126.00","123.25","1.15M","0.24%"
"06/26/2024","123.30","126.95","126.95","123.25","2.15M","-1.75%"
"06/25/2024","125.50","126.80","128.30","125.50","2.58M","-1.17%"
"06/24/2024","126.99","125.80","129.98","125.80","5.39M","0.70%"
"06/21/2024","126.11","123.50","127.97","122.40","12.90M","3.44%"
"06/20/2024","121.92","113.35","121.92","112.06","20.94M","7.89%"
"06/14/2024","113.00","110.00","113.25","108.90","5.19M","3.01%"
"06/13/2024","109.70","105.00","110.40","104.80","5.60M","4.48%"
"06/12/2024","105.00","104.07","106.44","104.06","391.28K","-0.01%"
"06/11/2024","105.01","105.48","107.25","104.50","619.88K","-0.23%"
"06/10/2024","105.25","106.48","107.46","105.10","1.05M","-1.16%"
"06/07/2024","106.48","108.82","109.50","104.12","2.53M","-2.22%"
"06/06/2024","108.90","108.85","110.49","108.10","1.25M","0.28%"
"06/05/2024","108.60","112.00","112.00","108.40","2.99M","-3.04%"
"06/04/2024","112.00","113.08","113.50","111.22","2.33M","-0.88%"
"06/03/2024","113.00","114.00","114.49","112.90","1.29M","-0.68%"
"05/31/2024","113.77","114.00","114.38","113.40","2.29M","0.15%"
"05/30/2024","113.60","114.40","114.50","113.36","1.10M","-0.35%"
"05/29/2024","114.00","114.75","115.35","113.10","2.00M","-0.65%"
"05/27/2024","114.75","114.60","116.80","113.83","6.16M","0.38%"
"05/24/2024","114.32","113.25","114.95","113.05","2.94M","1.40%"
"05/23/2024","112.74","112.75","113.97","112.26","905.98K","-0.23%"
"05/22/2024","113.00","113.90","114.25","112.51","777.25K","-0.79%"
"05/21/2024","113.90","113.50","114.70","113.30","1.90M","0.36%"
"05/20/2024","113.49","116.10","116.10","113.27","1.26M","-1.74%"
"05/17/2024","115.50","116.00","116.74","115.25","1.11M","-0.35%"
"05/16/2024","115.90","115.50","116.40","114.80","4.25M","0.56%"
"05/15/2024","115.26","115.01","115.85","114.50","2.51M","0.31%"
"05/14/2024","114.90","113.10","115.26","113.10","4.42M","1.24%"
"05/13/2024","113.49","113.41","114.10","113.00","1.67M","0.42%"
"05/10/2024","113.01","113.20","113.80","112.50","790.05K","-0.54%"
"05/09/2024","113.62","113.51","114.60","112.90","2.00M","-0.33%"
"05/08/2024","114.00","113.39","114.30","112.06","2.99M","1.06%"
"05/07/2024","112.80","111.98","113.49","111.50","3.37M","0.71%"
"05/06/2024","112.00","113.02","113.35","111.40","2.73M","-0.36%"
"05/03/2024","112.40","111.73","113.88","111.73","6.79M","0.26%"
"05/02/2024","112.11","113.50","115.75","112.00","3.47M","-3.93%"
"04/30/2024","116.70","116.94","118.20","116.00","4.03M","-0.26%"
"04/29/2024","117.00","118.05","118.80","115.40","5.59M","-0.68%"
"04/26/2024","117.80","118.00","118.60","116.30","3.85M","-0.10%"
"04/25/2024","117.92","119.40","119.80","117.26","4.56M","-0.61%"
"04/24/2024","118.64","115.99","119.10","114.98","12.55M","2.30%"
"04/23/2024","115.97","115.00","116.60","113.60","13.14M","0.84%"
"04/22/2024","115.00","115.10","116.50","112.51","48.15M","0.10%"
"04/19/2024","114.88","113.40","115.85","113.15","2.28M","0.55%"
"04/18/2024","114.25","115.80","116.73","113.60","3.25M","-0.87%"
"04/17/2024","115.25","116.00","117.50","114.50","3.63M","-0.29%"
"04/16/2024","115.59","111.30","118.48","111.00","15.88M","4.11%"
"04/15/2024","111.03","111.48","111.50","108.99","1.52M","1.86%"
"04/09/2024","109.00","111.79","112.84","108.75","4.31M","-0.96%"
"04/08/2024","110.06","108.99","110.70","107.95","1.51M","1.16%"
"04/04/2024","108.80","106.69","109.90","106.00","1.76M","2.26%"
"04/03/2024","106.40","105.00","106.70","104.60","1.05M","1.34%"
"04/02/2024","104.99","105.49","105.49","104.10","278.08K","-0.01%"
"04/01/2024","105.00","104.95","105.90","104.65","358.08K","0.67%"
"03/29/2024","104.30","105.95","106.45","104.25","671.01K","-1.32%"
"03/28/2024","105.70","104.50","105.75","104.11","432.65K","1.44%"
"03/27/2024","104.20","104.00","106.40","103.50","1.25M","0.20%"
"03/26/2024","103.99","104.49","105.00","103.00","898.19K","0.26%"
"03/25/2024","103.72","105.00","105.75","103.00","925.71K","-1.22%"
"03/22/2024","105.00","107.00","107.00","104.51","1.36M","-1.64%"
"03/21/2024","106.75","108.74","108.80","106.19","2.22M","-0.97%"
"03/20/2024","107.80","109.00","109.50","107.49","734.10K","-0.29%"
"03/19/2024","108.11","108.50","110.45","108.11","1.22M","-0.36%"
"03/18/2024","108.50","109.50","109.50","108.00","555.71K","-4.62%"
"03/15/2024","113.75","113.20","114.49","113.20","651.36K","-0.12%"
"03/14/2024","113.89","112.99","114.00","112.55","1.13M","1.24%"
"03/13/2024","112.50","113.68","114.00","112.06","471.49K","-1.14%"
"03/12/2024","113.80","114.67","114.91","113.26","317.71K","-0.61%"
"03/11/2024","114.50","114.00","116.00","114.00","396.40K","-0.01%"
"03/08/2024","114.51","115.49","116.00","114.31","491.92K","-0.25%"
"03/07/2024","114.80","116.19","116.50","114.61","677.46K","-1.08%"
"03/06/2024","116.05","116.00","117.95","115.80","1.63M","0.13%"
"03/05/2024","115.90","116.00","116.41","115.05","1.63M","0.55%"
"03/04/2024","115.27","117.00","117.00","114.85","4.07M","-1.35%"
"03/01/2024","116.85","116.05","117.80","115.85","2.45M","0.82%"
"02/29/2024","115.90","115.00","116.55","115.00","1.62M","1.31%"
"02/28/2024","114.40","115.00","116.98","114.06","5.01M","-0.52%"
"02/27/2024","115.00","115.50","116.00","114.20","3.45M","0.17%"
"02/26/2024","114.80","113.77","116.00","113.77","3.55M","0.91%"
"02/23/2024","113.76","113.03","115.01","112.00","3.34M","1.14%"
"02/22/2024","112.48","112.00","113.40","110.05","725.84K","0.61%"
"02/21/2024","111.80","110.55","113.00","110.55","528.23K","0.90%"
"02/20/2024","110.80","110.00","111.29","108.91","347.63K","0.12%"
"02/19/2024","110.67","110.00","111.48","108.51","448.40K","1.30%"
"02/16/2024","109.25","110.50","111.39","108.01","524.34K","-1.48%"
"02/15/2024","110.89","111.11","112.49","108.35","939.37K","-0.55%"
"02/14/2024","111.50","111.00","112.55","111.00","961.38K","1.36%"
"02/13/2024","110.00","107.01","110.50","103.00","1.39M","1.20%"
"02/12/2024","108.70","110.00","112.40","105.35","3.68M","-1.64%"
"02/09/2024","110.51","110.50","111.90","106.27","1.50M","-2.03%"
"02/07/2024","112.80","112.89","114.00","112.34","2.24M","0.28%"
"02/06/2024","112.48","113.70","113.70","111.80","1.22M","0.53%"
"02/02/2024","111.89","112.00","112.83","111.50","2.21M","0.08%"
"02/01/2024","111.80","111.48","112.35","111.20","636.33K","0.72%"
"01/31/2024","111.00","111.70","112.40","110.51","956.49K","0.18%"
"01/30/2024","110.80","112.99","113.98","110.40","1.34M","-1.07%"
"01/29/2024","112.00","113.90","113.97","111.51","3.15M","-1.67%"
"01/26/2024","113.90","116.00","116.89","113.51","2.07M","-1.39%"
"01/25/2024","115.50","116.00","117.01","115.01","3.34M","-0.20%"
"01/24/2024","115.73","116.95","116.95","115.50","744.95K","-0.22%"
"01/23/2024","115.99","115.10","116.60","115.10","9.67M","0.97%"
"01/22/2024","114.88","114.64","115.48","113.10","563.76K","0.68%"
"01/19/2024","114.10","115.25","116.50","114.07","358.82K","-0.70%"
"01/18/2024","114.90","115.00","115.85","112.66","872.34K","-0.32%"
"01/17/2024","115.27","116.01","117.20","114.93","5.08M","-0.84%"
"01/16/2024","116.25","117.26","118.00","116.25","1.14M","-1.46%"
"01/15/2024","117.97","119.30","120.81","117.27","1.91M","-0.28%"
"01/12/2024","118.30","118.00","119.00","117.50","1.60M","0.60%"
"01/11/2024","117.60","115.25","117.78","114.01","1.24M","2.26%"
"01/10/2024","115.00","117.00","117.00","114.90","447.28K","-0.26%"
"01/09/2024","115.30","116.99","117.44","115.27","390.89K","-0.63%"
"01/08/2024","116.03","117.25","118.00","116.01","573.04K","-1.24%"
"01/05/2024","117.49","117.45","117.99","115.20","1.06M","0.94%"
"01/04/2024","116.40","117.10","117.75","116.10","1.13M","-0.82%"
"01/03/2024","117.36","117.01","119.21","116.49","3.26M","0.36%"
"01/02/2024","116.94","116.89","118.80","115.00","4.16M","0.65%"
"01/01/2024","116.19","110.83","116.50","110.83","2.88M","5.63%"
"12/29/2023","110.00","111.01","112.00","109.55","1.49M","-1.08%"
"12/28/2023","111.20","111.26","113.49","110.20","3.34M","1.00%"
"12/27/2023","110.10","110.50","110.94","107.05","2.96M","0.55%"
"12/26/2023","109.50","116.00","118.80","107.25","5.38M","-5.19%"
"12/22/2023","115.50","119.50","121.00","115.00","1.56M","-3.75%"
"12/21/2023","120.00","116.55","120.25","116.10","902.68K","0.83%"
"12/20/2023","119.01","119.10","121.00","116.25","2.34M","0.01%"
"12/19/2023","119.00","123.95","123.95","118.20","2.76M","-3.25%"
"12/18/2023","123.00","125.11","126.50","123.00","1.66M","-0.97%"
"12/15/2023","124.20","124.00","126.70","122.50","3.64M","0.57%"
"12/14/2023","123.50","123.94","124.49","121.00","4.07M","0.78%"
"12/13/2023","122.55","124.70","125.60","121.20","4.17M","-1.12%"
"12/12/2023","123.94","124.98","125.40","122.50","2.28M","-0.17%"
"12/11/2023","124.15","129.47","132.50","121.16","24.84M","-4.62%"
"12/08/2023","130.17","122.00","130.17","121.20","8.66M","7.31%"
"12/07/2023","121.30","118.11","124.20","118.11","6.38M","2.84%"
"12/06/2023","117.95","113.00","118.00","112.45","2.95M","4.83%"
"12/05/2023","112.52","111.53","114.40","111.53","2.23M","0.91%"
"12/04/2023","111.50","112.00","113.10","111.16","1.23M","-0.28%"
"12/01/2023","111.81","112.49","112.99","110.50","885.12K","-0.17%"
"11/30/2023","112.00","112.98","114.10","109.05","3.23M","0.90%"
"11/29/2023","111.00","115.00","116.50","109.50","3.96M","-3.10%"
"11/28/2023","114.55","111.25","116.50","111.25","7.09M","5.06%"
